HKBennett,New Zealand,Bangladesh,0,0,0,0,0,50,8,44,3,0,5.5,Shere Bangla National Stadium,0,0,2010,77
HKBennett,New Zealand,Bangladesh,0,11,0,0,0.0,49,8,30,0,1,3.75,Shere Bangla National Stadium,0,0,2010,6
HKBennett,New Zealand,Pakistan,3,6,0,0,50.0,47,7,58,0,0,8.285714285714286,Seddon Park,0,0,2011,-1
HKBennett,New Zealand,India,3,7,0,0,42.857142857142854,61,10,42,2,2,4.2,Eden Park,0,1,2014,75
HKBennett,New Zealand,Australia,0,0,0,0,0,48,8,66,2,0,8.25,Vidarbha Cricket Association Stadium Jamtha,0,0,2011,50
HKBennett,New Zealand,Bangladesh,0,0,0,0,0,57,9,49,1,1,5.444444444444445,Clontarf Cricket Club Ground,0,1,2017,43
HKBennett,New Zealand,Bangladesh,0,0,0,0,0,63,10,32,3,1,3.2,Clontarf Cricket Club Ground,0,0,2017,89
HKBennett,New Zealand,Pakistan,4,7,0,0,57.14285714285714,43,7,55,2,0,7.857142857142857,AMI Stadium,0,0,2011,50
HKBennett,New Zealand,Pakistan,0,0,0,0,0,59,9,49,2,1,5.444444444444445,McLean Park,0,0,2011,60
HKBennett,New Zealand,Sri Lanka,0,4,0,0,0.0,26,4,16,0,0,4.0,Wankhede Stadium,0,0,2011,-4
HKBennett,New Zealand,Pakistan,0,0,0,0,0,48,8,26,3,0,3.25,Westpac Stadium,0,0,2011,81
HKBennett,New Zealand,Zimbabwe,0,0,0,0,0,47,7,40,0,0,5.714285714285714,Sardar Patel Stadium Motera,1,0,2011,14
HKBennett,New Zealand,Pakistan,0,0,0,0,0,51,8,46,4,0,5.75,Eden Park,0,0,2011,110
HKBennett,New Zealand,Kenya,0,0,0,0,0,30,5,17,4,1,3.4,MA Chidambaram Stadium Chepauk,0,0,2011,122
